date,Count
1/1/2013 - 1/2/2013,10
1/2/2013 - 1/3/2013,4
1/3/2013 - 1/4/2013,2
1/4/2013 - 1/5/2013,5
1/5/2013 - 1/6/2013,11
1/6/2013 - 1/7/2013,6
1/7/2013 - 1/8/2013,7
1/8/2013 - 1/9/2013,5
1/9/2013 - 1/10/2013,1
1/10/2013 - 1/11/2013,1
1/11/2013 - 1/12/2013,3
1/12/2013 - 1/13/2013,16
1/13/2013 - 1/14/2013,1
1/14/2013 - 1/15/2013,2
1/15/2013 - 1/16/2013,2
1/16/2013 - 1/17/2013,2
1/17/2013 - 1/18/2013,4
1/18/2013 - 1/19/2013,0
1/19/2013 - 1/20/2013,3
1/20/2013 - 1/21/2013,1
1/21/2013 - 1/22/2013,2
1/22/2013 - 1/23/2013,2
1/23/2013 - 1/24/2013,0
1/24/2013 - 1/25/2013,2
1/25/2013 - 1/26/2013,0
1/26/2013 - 1/27/2013,4
1/27/2013 - 1/28/2013,5
1/28/2013 - 1/29/2013,1
1/29/2013 - 1/30/2013,1
1/30/2013 - 1/31/2013,1
1/31/2013 - 2/1/2013,1
2/1/2013 - 2/2/2013,1
2/2/2013 - 2/3/2013,9
2/3/2013 - 2/4/2013,6
2/4/2013 - 2/5/2013,3
2/5/2013 - 2/6/2013,3
2/6/2013 - 2/7/2013,1
2/7/2013 - 2/8/2013,2
2/8/2013 - 2/9/2013,6
2/9/2013 - 2/10/2013,7
2/10/2013 - 2/11/2013,5
2/11/2013 - 2/12/2013,2
2/12/2013 - 2/13/2013,4
2/13/2013 - 2/14/2013,5
2/14/2013 - 2/15/2013,3
2/15/2013 - 2/16/2013,7
2/16/2013 - 2/17/2013,23
2/17/2013 - 2/18/2013,14
2/18/2013 - 2/19/2013,7
2/19/2013 - 2/20/2013,5
2/20/2013 - 2/21/2013,8
2/21/2013 - 2/22/2013,3
2/22/2013 - 2/23/2013,4
2/23/2013 - 2/24/2013,14
2/24/2013 - 2/25/2013,17
2/25/2013 - 2/26/2013,9
2/26/2013 - 2/27/2013,2
2/27/2013 - 2/28/2013,2
2/28/2013 - 3/1/2013,6
3/1/2013 - 3/2/2013,1
3/2/2013 - 3/3/2013,14
3/3/2013 - 3/4/2013,14
3/4/2013 - 3/5/2013,10
3/5/2013 - 3/6/2013,3
3/6/2013 - 3/7/2013,3
3/7/2013 - 3/8/2013,4
3/8/2013 - 3/9/2013,6
3/9/2013 - 3/10/2013,25
3/9/2013 - 3/11/2013,15
3/11/2013 - 3/12/2013,2
3/12/2013 - 3/13/2013,8
3/13/2013 - 3/14/2013,1
3/14/2013 - 3/15/2013,6
3/15/2013 - 3/16/2013,12
3/16/2013 - 3/17/2013,16
3/17/2013 - 3/18/2013,14
3/18/2013 - 3/19/2013,7
3/19/2013 - 3/20/2013,7
3/20/2013 - 3/21/2013,3
3/21/2013 - 3/22/2013,2
3/22/2013 - 3/23/2013,8
3/23/2013 - 3/24/2013,15
3/24/2013 - 3/25/2013,12
3/25/2013 - 3/26/2013,5
3/26/2013 - 3/27/2013,1
3/27/2013 - 3/28/2013,5
3/28/2013 - 3/29/2013,8
3/29/2013 - 3/30/2013,23
3/30/2013 - 3/31/2013,24
3/31/2013 - 4/1/2013,17
4/1/2013 - 4/2/2013,15
4/2/2013 - 4/3/2013,13
4/3/2013 - 4/4/2013,12
4/4/2013 - 4/5/2013,12
4/5/2013 - 4/6/2013,13
4/6/2013 - 4/7/2013,17
4/7/2013 - 4/8/2013,16
4/8/2013 - 4/9/2013,8
4/9/2013 - 4/10/2013,12
4/10/2013 - 4/11/2013,10
4/11/2013 - 4/12/2013,4
4/12/2013 - 4/13/2013,13
4/13/2013 - 4/14/2013,18
4/14/2013 - 4/15/2013,16
4/15/2013 - 4/16/2013,13
4/16/2013 - 4/17/2013,3
4/17/2013 - 4/18/2013,19
4/18/2013 - 4/19/2013,13
4/19/2013 - 4/20/2013,4
4/20/2013 - 4/21/2013,17
4/21/2013 - 4/22/2013,24
4/22/2013 - 4/23/2013,12
4/23/2013 - 4/24/2013,9
4/24/2013 - 4/25/2013,9
4/25/2013 - 4/26/2013,17
4/26/2013 - 4/27/2013,13
4/27/2013 - 4/28/2013,38
4/28/2013 - 4/29/2013,24
4/29/2013 - 4/30/2013,15
4/30/2013 - 5/1/2013,23
5/1/2013 - 5/2/2013,17
5/2/2013 - 5/3/2013,18
5/3/2013 - 5/4/2013,14
5/4/2013 - 5/5/2013,21
5/5/2013 - 5/6/2013,14
5/6/2013 - 5/7/2013,3
5/7/2013 - 5/8/2013,13
5/8/2013 - 5/9/2013,8
5/9/2013 - 5/10/2013,7
5/10/2013 - 5/11/2013,9
5/11/2013 - 5/12/2013,37
5/12/2013 - 5/13/2013,15
5/13/2013 - 5/14/2013,9
5/14/2013 - 5/15/2013,6
5/15/2013 - 5/16/2013,28
5/16/2013 - 5/17/2013,10
5/17/2013 - 5/18/2013,10
5/18/2013 - 5/19/2013,13
5/19/2013 - 5/20/2013,20
5/20/2013 - 5/21/2013,6
5/21/2013 - 5/22/2013,0
5/22/2013 - 5/23/2013,4
5/23/2013 - 5/24/2013,6
5/24/2013 - 5/25/2013,6
5/25/2013 - 5/26/2013,19
5/26/2013 - 5/27/2013,14
5/27/2013 - 5/28/2013,9
5/28/2013 - 5/29/2013,6
5/29/2013 - 5/30/2013,8
5/30/2013 - 5/31/2013,9
5/31/2013 - 6/1/2013,1
6/1/2013 - 6/2/2013,12
6/2/2013 - 6/3/2013,15
6/3/2013 - 6/4/2013,11
6/4/2013 - 6/5/2013,7
6/5/2013 - 6/6/2013,7
6/6/2013 - 6/7/2013,5
6/7/2013 - 6/8/2013,5
6/8/2013 - 6/9/2013,8
6/9/2013 - 6/10/2013,10
6/10/2013 - 6/11/2013,3
6/11/2013 - 6/12/2013,5
6/12/2013 - 6/13/2013,1
6/13/2013 - 6/14/2013,1
6/14/2013 - 6/15/2013,8
6/15/2013 - 6/16/2013,17
6/16/2013 - 6/17/2013,7
6/17/2013 - 6/18/2013,5
6/18/2013 - 6/19/2013,7
6/19/2013 - 6/20/2013,6
6/20/2013 - 6/21/2013,6
6/21/2013 - 6/22/2013,7
6/22/2013 - 6/23/2013,7
6/23/2013 - 6/24/2013,11
6/24/2013 - 6/25/2013,1
6/25/2013 - 6/26/2013,4
6/26/2013 - 6/27/2013,0
6/27/2013 - 6/28/2013,3
6/28/2013 - 6/29/2013,5
6/29/2013 - 6/30/2013,4
6/30/2013 - 7/1/2013,6
7/1/2013 - 7/2/2013,2
7/2/2013 - 7/3/2013,2
7/3/2013 - 7/4/2013,3
7/4/2013 - 7/5/2013,6
7/5/2013 - 7/6/2013,3
7/6/2013 - 7/7/2013,5
7/7/2013 - 7/8/2013,8
7/8/2013 - 7/9/2013,2
7/9/2013 - 7/10/2013,3
7/10/2013 - 7/11/2013,0
7/11/2013 - 7/12/2013,2
7/12/2013 - 7/13/2013,4
7/13/2013 - 7/14/2013,11
7/14/2013 - 7/15/2013,9
7/15/2013 - 7/16/2013,3
7/16/2013 - 7/17/2013,3
7/17/2013 - 7/18/2013,2
7/18/2013 - 7/19/2013,1
7/19/2013 - 7/20/2013,0
7/20/2013 - 7/21/2013,6
7/21/2013 - 7/22/2013,7
7/22/2013 - 7/23/2013,2
7/23/2013 - 7/24/2013,4
7/24/2013 - 7/25/2013,1
7/25/2013 - 7/26/2013,3
7/26/2013 - 7/27/2013,6
7/27/2013 - 7/28/2013,1
7/28/2013 - 7/29/2013,9
7/29/2013 - 7/30/2013,4
7/30/2013 - 7/31/2013,3
7/31/2013 - 8/1/2013,3
8/1/2013 - 8/2/2013,5
8/2/2013 - 8/3/2013,4
8/3/2013 - 8/4/2013,8
8/4/2013 - 8/5/2013,7
8/5/2013 - 8/6/2013,5
8/6/2013 - 8/7/2013,4
8/7/2013 - 8/8/2013,3
8/8/2013 - 8/9/2013,3
8/9/2013 - 8/10/2013,1
8/10/2013 - 8/11/2013,4
8/11/2013 - 8/12/2013,4
8/12/2013 - 8/13/2013,9
8/13/2013 - 8/14/2013,1
8/14/2013 - 8/15/2013,3
8/15/2013 - 8/16/2013,2
8/16/2013 - 8/17/2013,1
8/17/2013 - 8/18/2013,7
8/18/2013 - 8/19/2013,9
8/19/2013 - 8/20/2013,0
8/20/2013 - 8/21/2013,0
8/21/2013 - 8/22/2013,2
8/22/2013 - 8/23/2013,2
8/23/2013 - 8/24/2013,1
8/24/2013 - 8/25/2013,7
8/25/2013 - 8/26/2013,13
8/26/2013 - 8/27/2013,2
8/27/2013 - 8/28/2013,2
8/28/2013 - 8/29/2013,1
8/29/2013 - 8/30/2013,2
8/30/2013 - 8/31/2013,2
8/31/2013 - 9/1/2013,4
9/1/2013 - 9/2/2013,11
